Date,Quantity
2024-01-05,15
2024-01-12,18
2024-01-19,12
2024-01-26,20
2024-02-02,14
2024-02-09,16
2024-02-16,19
2024-02-23,13
2024-03-01,17
2024-03-08,18
2024-03-15,14
2024-03-22,21
2024-03-29,16
2024-04-05,19
2024-04-12,15
2024-04-19,18
2024-04-26,14
2024-05-03,20
2024-05-10,17
2024-05-17,16
2024-05-24,19
2024-05-31,15
2024-06-07,18
2024-06-14,14
2024-06-21,20
2024-06-28,16
2024-07-05,19
2024-07-12,15
2024-07-19,18
2024-07-26,14
2024-08-02,21
2024-08-09,16
2024-08-16,19
2024-08-23,15
2024-08-30,18
2024-09-06,14
2024-09-13,20
2024-09-20,16
2024-09-27,19
2024-10-04,15
2024-10-11,18
2024-10-18,14
2024-10-25,21
2024-11-01,16
2024-11-08,19
2024-11-15,15
2024-11-22,18
2024-11-29,14
2024-12-06,20
2024-12-13,16
2024-12-20,19
2024-12-27,15
